APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
kurdwadi,sunflower,2015,-608.0,-608.0,solapur,maharashtra
kurdwadi,sunflower,2016,-935.5,-935.5,solapur,maharashtra
akhadabalapur,pigeon pea (tur),2014,-329.25,-1487.25,hingoli,maharashtra
barshi,wheat(husked),2014,4.75,-492.0,solapur,maharashtra
barshi,wheat(husked),2015,-40.58333333333326,-48.75,solapur,maharashtra
chopda,sunflower,2014,-1212.3333333333335,-2052.333333333333,jalgaon,maharashtra
chopda,sunflower,2015,-1184.6666666666665,-1190.2222222222222,jalgaon,maharashtra
chopda,sunflower,2016,-988.0,-1526.3333333333335,jalgaon,maharashtra
jintur,sorgum(jawar),2014,-301.5,-653.5,parbhani,maharashtra
jintur,sorgum(jawar),2015,-357.66666666666674,-361.66666666666674,parbhani,maharashtra
jintur,sorgum(jawar),2016,-146.0,-312.5454545454545,parbhani,maharashtra
jalkot,pigeon pea (tur),2014,-143.0,-2247.0,latur,maharashtra
vasai,wheat(husked),2014,17.0,-693.0,thane,maharashtra
vasai,wheat(husked),2015,-6.0,-202.0,thane,maharashtra
akkolkot,wheat(unhusked),2014,1251.0,-97.0,solapur,maharashtra
dound,pigeon pea (tur),2015,2115.0,-1250.0,pune,maharashtra
deulgaon raja,cotton,2014,168.66666666666652,-824.6666666666665,buldhana,maharashtra
nandurbar,sunflower,2014,-783.3333333333335,-1686.3333333333335,nandurbar,maharashtra
nandurbar,sunflower,2015,-495.909090909091,-587.2727272727275,nandurbar,maharashtra
nandurbar,sunflower,2016,-421.55555555555566,-945.4444444444443,nandurbar,maharashtra
shevgaon-bodhegaon,bajri,2014,-86.0,-531.3333333333334,ahmadnagar,maharashtra
shevgaon-bodhegaon,bajri,2015,-71.66666666666674,-88.66666666666674,ahmadnagar,maharashtra
akkalkuwa,sorgum(jawar),2015,-365.0,-365.0,nandurbar,maharashtra
akkalkuwa,sorgum(jawar),2016,-336.66666666666674,-336.66666666666674,nandurbar,maharashtra
shirpur,wheat(husked),2014,-9.0,-570.25,dhule,maharashtra
shirpur,wheat(husked),2015,-135.27272727272725,-152.63636363636374,dhule,maharashtra
jafrabad,wheat(husked),2014,-125.0,-733.0,jalna,maharashtra
jafrabad,wheat(husked),2015,-219.58333333333326,-288.25,jalna,maharashtra
kolhapur-laxmipuri,gr.nut kernels,2014,1854.333333333333,-39.0,kolhapur,maharashtra
mantha,pigeon pea (tur),2014,-182.66666666666697,-1189.6666666666665,jalna,maharashtra
mangaon(bhadav),rice(paddy-hus),2014,418.25,-100.5,raigad,maharashtra
kolhapur-laxmipuri,bajri,2014,356.66666666666674,-203.66666666666674,kolhapur,maharashtra
ahmedpur,pigeon pea (tur),2014,-520.0,-890.5,latur,maharashtra
mukhed,sunflower,2015,-390.0,-390.0,nanded,maharashtra
partur,wheat(husked),2014,-69.0,-657.5,jalna,maharashtra
partur,wheat(husked),2015,-15.916666666666742,-114.08333333333326,jalna,maharashtra
lonar,pigeon pea (tur),2014,-6.25,-1263.0,buldhana,maharashtra
nandura,bajri,2014,-84.5,-642.5,buldhana,maharashtra
nandura,bajri,2015,-189.0,-218.25,buldhana,maharashtra
nandura,bajri,2016,58.72727272727275,-37.545454545454504,buldhana,maharashtra
lonand,sorgum(jawar),2014,2.0,-479.25,satara,maharashtra
lonand,sorgum(jawar),2015,-6.0833333333332575,-9.5,satara,maharashtra
lonand,sorgum(jawar),2016,-13.5,-140.29999999999995,satara,maharashtra
majalgaon,wheat(husked),2014,-166.75,-585.25,beed,maharashtra
majalgaon,wheat(husked),2015,-95.66666666666674,-124.16666666666674,beed,maharashtra
murtizapur,safflower,2015,-1044.5,-1044.5,akola,maharashtra
jalna,bajri,2014,-172.75,-555.0,jalna,maharashtra
jalna,bajri,2015,-129.66666666666674,-120.0,jalna,maharashtra
jalna,bajri,2016,127.4545454545455,-102.18181818181824,jalna,maharashtra
chandur bajar,pigeon pea (tur),2014,216.33333333333303,-1590.3333333333335,amaravathi,maharashtra
mehkar,maize,2014,-381.0,-749.0,buldhana,maharashtra
mehkar,maize,2015,-209.0,-290.7777777777778,buldhana,maharashtra
mehkar,maize,2016,-1.8888888888889142,-206.44444444444434,buldhana,maharashtra
raver,bajri,2014,108.33333333333326,-409.33333333333337,jalgaon,maharashtra
raver,bajri,2016,75.625,-113.875,jalgaon,maharashtra
jalna-badnapur,bajri,2014,200.0,-531.0,jalna,maharashtra
jalna-badnapur,bajri,2015,-12.75,-93.375,jalna,maharashtra
jalna-badnapur,bajri,2016,160.1111111111111,-32.77777777777783,jalna,maharashtra
aarni,wheat(husked),2014,-194.5,-194.5,yewatmal,maharashtra
aarni,wheat(husked),2015,-344.79999999999995,-344.79999999999995,yewatmal,maharashtra
ahmednagar,pigeon pea (tur),2014,-210.0,-1771.0,ahmadnagar,maharashtra
paranda,wheat(husked),2015,-116.66666666666674,-116.66666666666674,osmanabad,maharashtra
mudkhed,wheat(husked),2015,-118.0,-822.0,nanded,maharashtra
pathardi,wheat(husked),2014,107.25,-81.5,ahmadnagar,maharashtra
nilanga,pigeon pea (tur),2014,-360.0,-518.0,latur,maharashtra
satana,sorgum(jawar),2015,-10.0,-10.0,nasik,maharashtra
devala,pigeon pea (tur),2014,-397.5,-1900.5,nasik,maharashtra
tuljapur,wheat(husked),2014,-42.5,-42.5,osmanabad,maharashtra
barshi-vairag,wheat(husked),2014,425.75,-42.25,solapur,maharashtra
malegaon,sorgum(jawar),2014,170.5,-238.75,nasik,maharashtra
malegaon,sorgum(jawar),2016,-13.0,-400.79999999999995,nasik,maharashtra
kille dharur,wheat(husked),2014,9.333333333333258,-153.0,beed,maharashtra
pulgaon,wheat(husked),2015,-231.79999999999995,-231.79999999999995,wardha,maharashtra
akkolkot,pigeon pea (tur),2014,250.5,-1479.5,solapur,maharashtra
shevgaon,bajri,2014,-125.0,-485.0,ahmadnagar,maharashtra
shevgaon,bajri,2015,-28.416666666666742,-40.33333333333326,ahmadnagar,maharashtra
shevgaon,bajri,2016,120.0,-126.79999999999995,ahmadnagar,maharashtra
barshi-vairag,maize,2014,-153.25,-523.75,solapur,maharashtra
barshi-vairag,maize,2015,-35.799999999999955,-60.299999999999955,solapur,maharashtra
pune,coconut,2014,-1418.0,-1418.0,pune,maharashtra
pune,coconut,2015,-1490.0,-1490.0,pune,maharashtra
pune,coconut,2016,-1592.0,-1592.0,pune,maharashtra
jafrabad,maize,2014,-265.0,-762.5,jalna,maharashtra
jafrabad,maize,2015,-233.58333333333326,-297.0,jalna,maharashtra
jafrabad,maize,2016,-150.0,-277.72727272727275,jalna,maharashtra
amalner,wheat(husked),2014,-29.5,-654.0,jalgaon,maharashtra
amalner,wheat(husked),2015,-113.5,-149.0,jalgaon,maharashtra
gangakhed,sorgum(jawar),2014,-100.0,-100.0,parbhani,maharashtra
chalisgaon,cotton,2014,-3700.0,-3700.0,jalgaon,maharashtra
latur-murud,pigeon pea (tur),2015,3843.0,-291.0,latur,maharashtra
basmat,wheat(husked),2014,50.0,-700.0,hingoli,maharashtra
vasai,rice(paddy-hus),2014,200.0,-553.0,thane,maharashtra
